row_numb,name,address/location,cusion,rate(ing)
1,restaurant #1,"NY, 258 street, 545",Chinese,3
2,restaurant #2,"NY, 45 street, 273",Italian,2
3,restaurant #3,"NY, 11 street, 247",Traditional,5
4,restaurant #4,"NY, 69 street, 194",Chinese,1
5,restaurant #5,"NY, 50 street, 91",Italian,2
6,restaurant #6,"NY, 10 street, 355",Chinese,4
7,restaurant #7,"NY, 17 street, 218",Traditional,1
8,restaurant #8,"NY, 152 street, 222",Italian,4
9,restaurant #9,"NY, 120 street, 570",Italian,4
10,restaurant #10,"NY, 220 street, 267",Chinese,2
11,restaurant #11,"NY, 3 street, 505",Traditional,1
12,restaurant #12,"NY, 72 street, 244",Chinese,3
13,restaurant #13,"NY, 252 street, 370",Chinese,5
14,restaurant #14,"NY, 194 street, 68",Italian,3
15,restaurant #15,"NY, 262 street, 261",Traditional,2
16,restaurant #16,"NY, 36 street, 96",Italian,3
17,restaurant #17,"NY, 236 street, 414",Chinese,5
18,restaurant #18,"NY, 90 street, 398",Traditional,1
19,restaurant #19,"NY, 2 street, 6",Italian,1
20,restaurant #20,"NY, 252 street, 566",Traditional,2
21,restaurant #21,"NY, 187 street, 426",Traditional,2
22,restaurant #22,"NY, 171 street, 214",Traditional,2
23,restaurant #23,"NY, 154 street, 36",Chinese,3
24,restaurant #24,"NY, 60 street, 526",Traditional,4
25,restaurant #25,"NY, 88 street, 155",Traditional,1
26,restaurant #26,"NY, 178 street, 452",Traditional,1
27,restaurant #27,"NY, 138 street, 215",Traditional,3
28,restaurant #28,"NY, 165 street, 9",Chinese,1
29,restaurant #29,"NY, 217 street, 552",Chinese,5
30,restaurant #30,"NY, 126 street, 195",Chinese,5
31,restaurant #31,"NY, 271 street, 408",Chinese,4
32,restaurant #32,"NY, 30 street, 130",Chinese,5
33,restaurant #33,"NY, 78 street, 7",Traditional,5
34,restaurant #34,"NY, 62 street, 347",Chinese,2
35,restaurant #35,"NY, 175 street, 357",Traditional,3
36,restaurant #36,"NY, 188 street, 474",Traditional,5
37,restaurant #37,"NY, 64 street, 151",Italian,1
38,restaurant #38,"NY, 134 street, 498",Traditional,2
